,Heading,Subtitle,Author,Narrator,Duration,Released_Date,Language,Rating,Rating_count
0,You Are the Best Wife,A true love story,Ajay K. Pandey,Shlok Menon,449,09-01-17,English,4.5,520
1,Gateway,"Expeditionary Force, Book 18",Craig Alanson,R.C. Bray,1166,29-04-25,English,No Rating,No Ratings_count
2,The Commonsense Diet,No Subtitle,Rujuta Diwekar,Nayan S. Parekh,342,24-04-25,English,No Rating,No Ratings_count
3,21 Shreshth Kahaniyan Prem Chand (Hindi Edition),No Subtitle,Munshi Premchand,Avdhesh Tondak,464,19-07-21,Hindi,5,197
4,"The Sandman, Act I (Hindi Edition)",No Subtitle,"Neil Gaiman, Dirk Maggs","Tabu, Vijay Varma, Manoj Bajpayee, Sushant Divgikar, Adarsh Gourav, Neeraj Kabi, Kubbra Sait, Tillotama Shome, full cast",663,27-04-22,Hindi,4.5,424
5,Gaban [Embezzlement],No Subtitle,Munshi Premchand,Sameer Goswami,696,21-02-22,Hindi,4.5,139
6,The Quick and Easy Way to Effective Speaking,No Subtitle,Dale Carnegie,Avinash Kumar Singh,399,14-06-18,English,4.5,84
7,The Art of Influencing People,No Subtitle,Virender Kapoor,Rajat Verman,NA,03-05-18,English,4,142
8,Complete Chanakya Neeti,No Subtitle,R.P. Jain,Nathan Dcosta,NA,22-07-21,English,4.5,328
9,Art of Seduction,An Indispensible Primer on the Ultimate Form of Power,Robert Greene,Joseph Powers,1371,01-05-15,English,4.5,156
10,Great Big Beautiful Life,No Subtitle,Emily Henry,Julia Whelan,727,22-04-25,English,4.5,2
11,My Experiments with Truth,No Subtitle,Mohandas K. Gandhi,Surjan Singh,1151,14-10-21,English,4.5,82
12,The Twisted Women's Book Club,No Subtitle,"Karin Slaughter, Lee Child, B.A. Paris, Caroline Kepnes, Oyinkan Braithwaite, Sarah Pekkanen, Linwood Barclay, Naomi Hirahara, K. J. Howe, Robert Dugoni, Alison Gaylin, Heather Gudenkauf, Shari Lapena, Clare Mackintosh, Stacy Willingham","January LaVoy, Andi Arndt, Saskia Maarleveld, Kathleen Early, full cast",649,10-04-25,English,No Rating,No Ratings_count
13,Ramayana Banaam Mahabharata [Ramayana vs. Mahabharata],Meri Drishti Se Ek Rochak Tulna [An Interesting Comparison from My Point of View],Devdutt Pattanaik,Sarvesh Vyas,379,26-02-20,Hindi,4.5,58
14,The Blue Umbrella,No Subtitle,Ruskin Bond,Adnan Kapadia,NA,01-01-17,English,4.5,535
15,Satya Ke Sath Mere Prayog [My Experiment with Truth],Meri Atmakatha [My Autobiography],M. K. Gandhi,Babla Kochhar,1374,25-06-19,Hindi,4.5,257
16,Embrace Discomfort,Lean Into Challenge to Improve Your Life,Michael Easter,Michael Easter,271,24-04-25,English,No Rating,No Ratings_count
17,Why I Am an Atheist and Other Works,No Subtitle,Bhagat Singh,Siddhanta Pinto,NA,08-04-20,English,4.5,401
18,HBR Guide to Thinking Strategically,HBR Guide,Harvard Business Review,Daniel Henning,352,08-04-25,English,No Rating,No Ratings_count
19,Tales of Vishnu,No Subtitle,Amar Chitra Katha Pvt Ltd.,Swastishree Sharma,NA,14-04-25,English,4.5,3
20,Mahabharat Katha [Mahabharata Story],No Subtitle,Amritlal Nagar,Mala Mangla,641,14-10-21,Hindi,4.5,131
21,Forge Your Future,No Subtitle,A. P. J. Kalam,Errol Rodrigues,337,01-11-18,English,4.5,47
22,Agentic Artificial Intelligence,"Harnessing AI Agents to Reinvent Business, Work and Life","Pascal Bornet, Jochen Wirtz, Thomas H. Davenport, David De Cremer, Brian Evergreen, Phil Fersht, Rakesh Gohel, Shail Khiyara, Nandan Mullakara, Pooja Sund",Rory Young,882,26-03-25,English,No Rating,No Ratings_count
23,Pride and Prejudice,No Subtitle,Jane Austen,Rosamund Pike,695,08-12-15,English,5,553
24,Sunderkand (Hindi Edition),No Subtitle,Goswami Tulsidas,Neeraj Yadav,203,25-10-22,Hindi,5,170
25,Why I Am a Hindu,No Subtitle,Shashi Tharoor,Andrew Hoffland,782,12-05-23,English,4,104
26,Life Is What Matters,It's Time to Be Happy Again,Alka Dixit,Iyer Seetal,281,05-10-18,English,4.5,25
27,Burn for Me (Dramatized Adaptation),"Hidden Legacy, Book 1",Ilona Andrews,"Julian Dailey, LaMont Ridgell, Marissa Clay, Wyn Delano, Eva Wilhelm, Zura Johnson, Peter Stanley, Henry W. Kramer, Ian Putnam, Nanette Savard, Ryan Haugen, full cast",555,25-04-25,English,No Rating,No Ratings_count
28,Power,Why Some People Have It—and Others Don't,Jeffrey Pfeffer,Rick Adamson,484,29-09-20,English,No Rating,No Ratings_count
29,Valmiki Ramayan (Hindi Edition),No Subtitle,Valmiki,Ashwini Walia,437,15-06-22,Hindi,4.5,250
30,Shiv Puran (Hindi Edition),No Subtitle,Dr. Vinay,Neeraj Yadav,474,19-07-21,Hindi,5,241
31,Neuromarketing,Understanding the Buy Buttons in Your Customer's Brain,"Patrick Renvoise, Christophe Morin",Alan Taylor,312,09-11-21,English,No Rating,No Ratings_count
32,Think and Grow Rich,No Subtitle,Napoleon Hill,Erik Synnestvedt,575,16-10-07,English,4.5,96
33,Moral Ambition,Stop Wasting Your Talent and Start Making a Difference,Rutger Bregman,"Boris Hiestand, Rutger Bregman",355,24-04-25,English,No Rating,No Ratings_count
34,Sahaj Yog,No Subtitle,OSHO,OSHO,2230,26-05-17,Hindi,5,77
35,My Gita,No Subtitle,Devdutt Pattanaik,Vivek Madan,375,01-01-17,English,4.5,"1,179"
36,How to Talk to Anyone (Hindi Edition),92 Little Tricks for Big Success,Leil Lowndes,Priyanka Bhandari,619,15-12-24,Hindi,4.5,11
37,His Replaced Bride (Hindi Edition),No Subtitle,Kajal Sharma,Chaitali Gupta,844,11-02-22,Hindi,4.5,209
38,The Naga Warriors 2,"The Naga Warriors, Book 2",AKSHAT GUPTA,Debajit Saikia,545,15-04-25,English,No Rating,No Ratings_count
39,"Influence, New and Expanded",The Psychology of Persuasion,Robert B. Cialdini,Robert B. Cialdini,1243,04-05-21,English,No Rating,No Ratings_count
40,"30 Days - Change Your Habits, Change Your Life",A Couple of Simple Steps Every Day to Create the Life You Want,Marc Reklau,Derek Doepker,252,15-01-17,English,4.5,124
41,Breath By Breath,The Liberating Practice of Insight Meditation,"Larry Rosenberg, David Guy, Jon Kabat-Zinn - foreward",Edoardo Ballerini,453,09-12-14,English,4.5,29
42,Garden of Sanctuary,"The Wandering Inn, Book 15",pirateaba,Andrea Parsneau,1873,01-04-25,English,No Rating,No Ratings_count
43,Chanakya,No Subtitle,Amar Chitra Katha Pvt Ltd.,Abhishek Sharma,NA,14-04-25,English,No Rating,No Ratings_count
44,101 Essays That Will Change the Way You Think,No Subtitle,Brianna Wiest,Abby Craden,645,21-08-18,English,4.5,181
45,Meri Gita,No Subtitle,Devdutt Pattanaik,Ajay Raj Tomar,459,04-10-17,Hindi,4.5,331
46,Tell Me Lies,No Subtitle,J. P. Pomare,Aimee Horne,380,05-03-20,English,4.5,199
47,The 10X Rule,The Only Difference Between Success and Failure,Grant Cardone,Grant Cardone,444,19-07-11,English,4.5,"1,401"
48,The Mind-Gut Connection,"How the Hidden Conversation Within Our Bodies Impacts Our Mood, Our Choices, and Our Overall Health",Emeran Mayer,Tom Parks,597,01-02-22,English,No Rating,No Ratings_count
49,The Woman in White,No Subtitle,Wilkie Collins,Ian Holm,1477,27-08-10,English,4.5,43
50,How to Stop Worrying and Start Living,No Subtitle,Dale Carnegie,Avinash Kumar Singh,582,11-07-18,English,4.5,369
51,A Selection of the Cases of Sherlock Holmes,No Subtitle,Arthur Conan Doyle,Ashish Sen,295,23-08-17,English,4.5,48
52,Resilience,HBR Emotional Intelligence Series,Harvard Business Review,"Daniel Henning, Rachel Perry",124,22-12-20,English,4.5,69
53,Conquering Crisis,Ten Lessons to Learn Before You Need Them,Admiral William H. McRaven,Admiral William H. McRaven,279,22-04-25,English,No Rating,No Ratings_count
54,Hotel,No Subtitle,Arthur Hailey,Chris Abernathy,917,17-03-20,English,4.5,58
55,Still Hung Up on You,No Subtitle,Liz Maverick,"Andrew Eiden, Luci Christian Bell",148,14-09-23,English,4.5,94
56,A Fistful of Love,Wisdom and Humour from a Monk’s Bowl,Om Swami,Jagdish Raja,411,05-08-19,English,5,138
57,A Tale of Two Cities,A Story of the French Revolution,Charles Dickens,Swetanshu Bora,853,09-12-19,English,5,11
58,Peevat Ram Ras Lagi Khumari,No Subtitle,OSHO,OSHO,812,26-05-17,Hindi,4.5,13
59,Chandrakanta (Hindi Edition),No Subtitle,Devki Nandan Khatri,Manish Singhal,761,19-07-21,Hindi,4.5,63
60,Dharmayoddha Kalki: Avatar of Vishnu,"Kalki Trilogy, Book 1",Kevin Missal,Manish Dongardive,754,14-10-21,English,4,288
61,Dealing with Difficult People,HBR Emotional Intelligence Series,Harvard Business Review,"Mike Lenz, Eleanor McCormick",107,08-09-22,English,4.5,74
62,The Power of Your Subconscious Mind,No Subtitle,Dr. Joseph Murphy,Sean Pratt,477,15-11-16,English,4.5,202
63,Offside,"Rules of the Game, Book 1",Avery Keelan,"Stella Bloom, Gabriel Spires",1060,16-05-23,English,4,28
64,Prem Panth Aiso Kathin,No Subtitle,OSHO,OSHO,1641,26-05-17,Hindi,5,22
65,Dracula,No Subtitle,Bram Stoker,"Patricia Allison, Rachel Atkins, Daisy Edgar-Jones, Jason Forbes, Theo James, Harry Myers, Himesh Patel, Jason Watkins, Richard Reed",1105,21-10-21,English,5,26
66,The Jane Austen Collection,An Audible Original Drama,Jane Austen,"Claire Foy, Gugu Mbatha-Raw, Billie Piper, Florence Pugh, Emma Thompson",NA,05-11-20,English,4.5,75
67,The Path of Love,Understanding That Nothing Is Perfect in Life,Osho,Osho,880,01-03-16,English,5,14
68,"Bulls, Bears and Other Beasts",A Story of the Indian Stock Market,Santosh Nair,Swetanshu Bora,668,18-01-22,English,4.5,726
69,Limitless (Hindi Edition),No Subtitle,Jim Kwik,Vinod Sharma,727,22-11-24,Hindi,4,11
70,Yogi Kathamrit (Ek Yogi Ki Atmakatha) [Autobiography of a Yogi],No Subtitle,Paramahansa Yogananda,Atul Kapoor,1207,27-12-23,Hindi,5,27
71,Do Epic Shit,No Subtitle,Ankur Warikoo,Ankur Warikoo,197,22-09-22,English,4,"1,685"
72,Es Dhammo Sanantano Vol. 1,No Subtitle,OSHO,OSHO,834,26-05-17,Hindi,5,30
73,An Elderly Lady Is Up to No Good,No Subtitle,"Helene Tursten, Marlaine Delargy - Translated by",Suzanne Toren,192,11-06-19,English,4.5,108
74,Her Last Wish,No Subtitle,Ajay K. Pandey,Sagar Arya,414,06-07-17,English,4.5,481
75,An Era of Darkness,The British Empire in India,Shashi Tharoor,Sagar Arya,746,26-01-17,English,4.5,288
76,Rise Above,"Overcome a Victim Mindset, Empower Yourself and Realise Your Full Potential",Dr Scott Barry Kaufman,Dr Scott Barry Kaufman,539,24-04-25,English,No Rating,No Ratings_count
77,Atomic Habits (Hindi Edition),"Chote Badlav, Asadharan Parinam",James Clear,Sandeep Bhatt,489,27-12-24,Hindi,5,13
78,Narmadayan (Marathi Edition),No Subtitle,Uday Nagnath,Sachin Suresh,487,09-03-23,Hindi,4.5,21
79,Dark Horse: Ek Ankahi Dastan (Hindi Edition),No Subtitle,Nilotpal Mrinal,Nilotpal Mrinal,373,03-11-20,Hindi,5,459
80,Geetanjali,No Subtitle,Ravindranath Tagore,Prakil Singh,228,14-10-21,Hindi,4,20
81,The Magic of Self-Respect,Awakening to Your Own Awareness,Osho,Osho,1756,22-08-16,English,5,60
82,Mad Love,No Subtitle,Wendy Walker,"Julia Whelan, Alexis Bledel, Renée Elise Goldsberry, Finn Wittrock, Damon Daunno, Elizabeth Evans",251,09-05-24,English,4.5,68
83,Utsav Amar Jati Anand Amar Gotra,No Subtitle,OSHO,OSHO,1071,26-05-17,Hindi,5,14
84,Dream With Your Eyes Open,An Entrepreneurial Journey,Ronnie Screwvala,Ronnie Screwvala,439,05-09-19,English,4.5,755
85,The 15 Success Principles for Self-Realization,Channeled Wisdom to Create Your Reality and Expand Your Perspective,Sara Landon,Sara Landon,500,15-04-25,English,No Rating,No Ratings_count
86,Twisted Hate,"Twisted, Book 3",Ana Huang,"Cindy Kay, Aiden Snow",NA,19-07-22,English,4.5,185
87,Night Train at Deoli (Hindi Edition),No Subtitle,Ruskin Bond,Mansi Multani,403,24-12-18,Hindi,4.5,41
88,Hit Singles,No Subtitle,"Octavia Bray, Sarah Shachat, Gabriel Urbina, Zach Valenti, Ellen Winter","Evangeline Young, full cast",339,10-04-25,English,No Rating,No Ratings_count
89,Critical Business Skills for Success,No Subtitle,"The Great Courses, Clinton O. Longenecker, Eric Sussman, Michael A. Roberto, Ryan Hamilton","Clinton O. Longenecker, Eric Sussman, Michael A. Roberto, Ryan Hamilton",1878,08-04-15,English,4.5,97
90,The Contract,No Subtitle,Melanie Moreland,"John Lane, Tatiana Sokolov",523,11-10-16,English,4.5,133
91,The Whistling Schoolboy and Other Stories of School Life,No Subtitle,Ruskin Bond,Adnan Kapadia,172,01-01-17,English,4.5,24
92,The Arrogant One,"The Weston Group, Book 1",Marni Mann,"Vanessa Edwin, Aiden Snow",522,24-04-25,English,No Rating,No Ratings_count
93,The Psychology of Money (Marathi Edition),No Subtitle,Morgan Housel,Sachin Suresh,530,12-09-23,Hindi,4.5,37
94,Rogue Protocol,"The Murderbot Diaries, Book 3",Martha Wells,Kevin R. Free,226,07-08-18,English,4.5,73
95,Call Me Maybe,No Subtitle,Cara Bastone,"Luci Christian, Neil Hellegers",355,20-10-20,English,4.5,811
96,The Magicians of Mazda (Hindi Edition),No Subtitle,Ashwin Sanghi,Kamal Sharma,1044,31-10-23,Hindi,5,21
97,Krishna Kunji [Krishna Key],No Subtitle,Ashwin Sanghi,Ganesh Divekar,911,07-02-18,Hindi,4.5,154
98,Vandargal Vendrargal,No Subtitle,Madhan,Charles K,763,14-01-08,Tamil,5,131
99,Kalki Puran (Hindi Edition),No Subtitle,Dr. Vinay,Avdhesh Tondak,370,19-07-21,Hindi,4.5,49
100,A Guide to Stress Free Living,No Subtitle,Om Swami,Om Swami,232,06-05-24,English,5,107
101,Upon an Old Wall Dreaming,More of My Favourite Stories and Sketches,Ruskin Bond,Sagar Arya,432,16-02-17,English,5,12
102,Think and Grow Rich (Marathi Edition),No Subtitle,Napoleon Hill,Pankaj Khamkar,491,26-09-23,Hindi,5,12
103,How to Say It: Words That Make a Difference,No Subtitle,"Allison Friederichs Atkison, The Great Courses",Allison Friederichs Atkison,284,14-07-22,English,4.5,143
104,Babylon Ka Sabse Ameer Aadami [The Richest Man in Babylon],No Subtitle,George S. Clason,Avdhesh Tondak,286,24-10-22,Hindi,4.5,184
105,House of Flame and Shadow (Part 2 of 2) (Dramatized Adaptation),"Crescent City, Book 3",Sarah J. Maas,"Patrick Boylan, Colleen Delany, Danny Gavigan, Kit Swann, Nick J. Russo, Danny Montooth, Debi Tinsley, Zura Johnson, Khaya Fraites, Devon Lexington, Jonathan David Bullock, full cast",782,16-04-25,English,No Rating,No Ratings_count
106,One Arranged Murder (Hindi Edition),No Subtitle,Chetan Bhagat,"Akshay Anand Kohli, Aakash Ahuja, Surjan Singh, Jasleen Bhalla, Pallavi Bharti, Babla Kochhar, Prashant Narula, Dishi Duggal, Poonam Srivastav, Shruti Bhola, Sanyam Sharma, Bethany Nair",340,07-03-25,Hindi,4.5,72
107,The Imperfect Murder,No Subtitle,"James Patterson, J.D. Barker",Peter Ganim,569,10-04-25,English,No Rating,No Ratings_count
108,Annihilation of Caste (Marathi Edition),No Subtitle,B. R. Ambedkar,Sagar Kadam,216,26-09-23,Hindi,5,14
109,What Is Life?,With Mind and Matter and Autobiographical Sketches,"Erwin Schrödinger, Roger Penrose - foreword",Bob Souer,368,22-01-19,English,4.5,24
110,Cross the Line,No Subtitle,Julie Johnson,Tatiana Sokolov,618,26-04-16,English,4,28
111,She Comes First,The Thinking Man's Guide to Pleasuring a Woman,Ian Kerner,Ian Kerner,275,26-12-04,English,No Rating,No Ratings_count
112,Freud Manovishleshan [Freud Psychoanalysis],No Subtitle,Sigmund Freud,Neeraj Yadav,1213,20-01-22,Hindi,5,6
113,Garuda Puran,No Subtitle,Dr. Vinay,Sarvesh Vyas,368,19-07-21,Hindi,4.5,129
114,Seatmate,"Love Lines, Book 3",Cara Bastone,"Amanda Ronconi, Zachary Webber, Josh Hurley, Carol Monda, Corey Allen, Allyson Johnson, Eric Yves Garcia, Tanya Eby, Dina Pearlman",310,24-03-22,English,4.5,377
115,Chanakya Aur Chandragupt [Chanakya and Chandragupta],No Subtitle,Rajender Pandya,Errol Rodrigues,NA,19-07-21,Hindi,4.5,182
116,The House in the Woods,"Atticus Priest, Book 1",Mark Dawson,Simon Vance,597,19-05-20,English,4.5,5
117,How to Achieve Financial Independence and Retire Early,No Subtitle,"JD Roth, The Great Courses",JD Roth,279,16-02-21,English,4.5,318
118,Antaryatra Ke Sutra (Hindi),No Subtitle,OSHO,OSHO,89,01-03-16,Hindi,5,41
119,No Excuses!,The Power of Self-Discipline for Success in Your Life,Brian Tracy,Brian Tracy,411,27-12-09,English,4.5,666
120,41 Anmol Kahaniya [41 Priceless Stories],No Subtitle,Premchand,Prachi Chaube,928,14-10-21,Hindi,4.5,52
121,The Jungle Book: The Mowgli Stories,No Subtitle,Rudyard Kipling,Peter Jeffrey,145,06-07-11,English,5,8
122,The Hobbit,No Subtitle,J. R. R. Tolkien,Martin Shaw,357,11-10-05,English,No Rating,No Ratings_count
123,H.G. Wells: The Science Fiction Collection,No Subtitle,H. G. Wells,"Hugh Bonneville, Jason Isaacs, Sophie Okonedo, David Tennant, Alexander Vlahos, Eli Roth - introduction",1635,11-04-19,English,4.5,60
124,Art of Stress Management (Rupa Quick Reads),No Subtitle,Sarvesh Gulati,Avinash Kumar Singh,76,06-11-17,English,4.5,32
125,Oversubscribed,How to Get People Lined Up to Do Business with You (2nd Edition),Daniel Priestley,Daniel Priestley,393,09-03-20,English,5,29
126,How to Win Friends and Influence People (Telugu Edition),No Subtitle,Dale Carnegie,Vishveshvar Rao,500,18-12-23,Telugu,5,11
127,Kautilya Arthshastra (Hindi Edition),No Subtitle,Chanakya,Ashwini Walia,NA,26-02-20,Hindi,4.5,60
128,The Search,"Finding Your Inner Power, Your Potential",Osho,Osho,823,28-12-15,English,5,60
129,The Writer on the Hill,The Very Best of Ruskin Bond,Ruskin Bond,Sagar Arya,920,20-02-17,English,4.5,23
130,War and Peace,Penguin Classics,"Leo Tolstoy, Anthony Briggs, Orlando Figes","Chloe Pirrie, Sam Woolf, Michael Fox, Olivia Darnley, Terence Wilton",4033,30-04-20,English,4.5,16
131,Asura (Hindi Edition),"Parajiton ki gatha, Ravana va uski praja ki kahani",Anand Neelakantan,Nitin Sharma,1266,22-03-19,Hindi,4,82
132,Once Upon a Crime,No Subtitle,Brynn Kelly,"Chase Brown, Rebekkah Ross",650,06-03-25,English,4.5,25
133,Mark of the Fool 8,No Subtitle,J.M. Clarke,Travis Baldree,974,19-03-25,English,No Rating,No Ratings_count
134,Veda 360 Degrees: Deep Dive into the Foundation of Sanatan Dharma (Hindi Edition),No Subtitle,Devdutt Pattanaik,Devdutt Pattanaik,318,15-04-24,Hindi,4.5,141
135,Anahad Mein Bisram,No Subtitle,OSHO,OSHO,945,26-05-17,Hindi,4.5,33
136,The Mystwick School of Musicraft,No Subtitle,Jessica Khoury,Suzy Jackson,498,05-09-19,English,5,104
137,The Turn of the Screw,No Subtitle,Henry James,"Emma Thompson, Richard Armitage - introduction",280,15-03-16,English,4.5,8
138,The Girl in Room 105 (Hindi Edition),No Subtitle,Chetan Bhagat,"Chetan Bhagat, Akshay Anand Kohli, Aakash Ahuja, Neha Gargava, Pallavi Bharti, Babla Kochhar, Prashant Narula, Hemant Saini, Farhan, Deepti Singh, Vaibhav, Nitin Sharma",319,18-04-24,Hindi,4.5,357
139,Pratisad (Marathi Edition),No Subtitle,Manoj Ambike,Prasad Phanse,864,17-02-23,Hindi,5,25
140,"The Definitive Sci-Fi Collection: 25+ Novels and Stories from George Orwell, HP Lovecraft, Jules Verne, Edgar Rice Burroughs, Mary Shelley, & More","1984, The War of the Worlds, The Shadow Over Innsmouth, A Princess of Mars, Flatland, Journey to the Centre of the Earth, Frankenstein, Strage Case of Dr Jekyll and Mr Hyde, & More","Robert Louis Stevenson, Edward Abbott, Elizabeth Bowen, E.M. Forster, George Orwell, H.G. Wells, H.P. Lovecraft, Jules Verne, Margaret Cavendish, Mary Shelley, Yevgeny Zamyatin, Edgar Rice Burroughs","Malk Williams, Emma Gregory, Hugh Kermode, Jonathan Keeble, Matthew Lloyd Davies, Karen Cass",9728,31-03-25,English,No Rating,No Ratings_count
141,Million Dollar Habits,Proven Power Practices to Double and Triple Your Income,Brian Tracy,Brian Tracy,483,08-09-20,English,4.5,20
142,The Virginia Woolf Collection,No Subtitle,Virginia Woolf,"Tilda Swinton, Jessie Buckley, Kristin Scott Thomas, Vanessa Kirby, Adetomiwa Edun, Andrea Riseborough, Tracy Ifeachor, Samuel Barnett, Johnny Flynn, Juliet Stevenson",1813,02-03-21,English,5,9
143,Son of Bhrigu,No Subtitle,Christopher C. Doyle,Kaushik Ramachandran,648,08-05-19,English,4.5,83
144,Mastering Logical Fallacies,The Definitive Guide to Flawless Rhetoric and Bulletproof Logic,"Michael Withey, Henry Zhang - foreword",Steven Crossley,262,23-04-19,English,4,13
145,How to Enjoy Your Life and Your Job (Hindi Edition),No Subtitle,Dale Carnegie,Siddharth Kulkarni,362,26-10-21,Hindi,4.5,83
146,Time Management (Hindi Edition),No Subtitle,Sudhir Dixit,Rahul Jaisawat,154,09-08-19,Hindi,4.5,324
147,Swayam Ka Utterdayitva (Hindi),No Subtitle,OSHO,OSHO,83,01-03-16,Hindi,5,14
148,Business Sutra,A Very Indian Approach to Management,Devdutt Pattanaik,Shriram Iyer,686,01-01-17,English,4.5,55
149,Vishvasta (Marathi Edition),No Subtitle,Vasant Vasant Limaye,Vasant Vasant Limaye,1762,07-04-25,Marathi,No Rating,No Ratings_count
150,Nirvana: the Last Nightmare,Learning to Trust in Life,Osho,Osho,952,01-03-16,English,5,9
151,The Greatest Bengali Stories Ever Told,No Subtitle,Arunava Sinha,Swetanshu Bora,608,05-06-17,English,3.5,66
152,Autobiography of a Yogi (Hindi Edition),No Subtitle,Paramahansa Yogananda,Shashi Chaturvedi,1426,14-10-21,Hindi,4.5,384
153,The Ikigai Journey (Hindi Edition),Sequel to Ikigai: The Japanese Secret to a Long and Happy Life,"Hector Garcia, Fransesc Miralles",Abhishek Sharma,399,14-12-22,Hindi,5,33
154,Time Anxiety,The Illusion of Urgency and a Better Way to Live,Chris Guillebeau,Chris Guillebeau,311,17-04-25,English,No Rating,No Ratings_count
155,Shakespeare Ki Kahaniyaan [Shakespeare's Stories],No Subtitle,William Shakespeare,Vipin Singh,253,20-01-22,Hindi,5,35
156,Lapoojhanna (Hindi Edition),No Subtitle,Ashok Pande,Anil Datt,575,07-02-24,Hindi,4.5,29
157,Jagaran (Hindi),No Subtitle,OSHO,OSHO,116,01-03-16,Hindi,5,11
158,Panchatantra,No Subtitle,"Pandit Vishnu Sharma, G. L. Chandiramani",Shernaz Patel,451,08-11-18,English,4.5,108
159,Murder on Astor Place,"Gaslight Mystery, Book 1",Victoria Thompson,Callie Beaulieu,512,20-10-15,English,4.5,68
160,Byomkesh Bakshi Stories,No Subtitle,Saradindu Bandopadhyay,Sumit Kaul,386,07-11-18,English,4.5,587
161,Coaching for Leadership,"Writings on Leadership from the World's Greatest Coaches, 3rd Edition","Marshall Goldsmith, Laurence Lyons","Christine Williams, Paul Christy, Al Dano, Joe Geoffrey",697,09-07-20,English,4.5,2
